location,season,av_LSTsCOMP,sd_LSTsCOMP,min_LSTsCOMP,max_LSTsCOMP,Range_LSTsCOMP,absLST_mean,absLST_sd,absLST_min,DS_absLST_max,absLST_range,tree_cover,totalgreen_cover,imp_cover
Drop1,wet,0.989,0.358,0.027,1.64,1.613,31.493,0.929,28.956,33.198,4.242,0.14,0.28,0.64
Drop2,wet,0.879,0.194,0.422,1.318,0.896,30.709,0.47,29.561,31.823,2.262,0.14,0.27,0.53
Drop4,wet,-0.816,0.707,-1.638,1.199,2.837,27.539,1.354,25.832,30.846,5.015,0.74,0.82,0.10
Drop6,wet,-1.035,0.815,-1.997,1.089,3.086,26.764,1.342,25.006,29.586,4.58,0.1,0.36,0.20
Drop8,wet,-0.737,0.474,-1.444,0.397,1.841,27.156,0.865,25.836,29.216,3.38,0.18,0.56,0.22
Drop9,wet,0.882,0.302,0.268,1.654,1.386,31.002,0.605,29.894,32.452,2.557,0.10,0.34,0.58
Drop11,wet,1.739,0.407,-0.128,2.223,2.351,32.902,1.33,27.712,34.57,6.858,0.04,0.06,0.94
Drop12,wet,0.776,0.629,-1.069,1.806,2.875,30.373,1.405,26.582,32.936,6.353,0.14,0.36,0.48
Drop14,wet,0.252,0.523,-0.882,1.212,2.094,29.509,1.073,27.134,31.699,4.564,0.08,0.32,0.48
Drop15,wet,-0.455,0.523,-1.095,0.918,2.013,27.07,1.101,25.67,29.497,3.827,0.08,0.72,0.14
Drop16,wet,-0.231,0.74,-1.396,1.242,2.638,28.393,1.428,26.019,31.381,5.362,0.24,0.52,0.32
Drop17,wet,-0.439,0.818,-1.631,0.781,2.412,27.848,1.775,25.154,30.463,5.309,0.32,0.52,0.30
Drop18,wet,-0.889,0.367,-1.73,-0.047,1.683,27.544,0.841,25.619,29.492,3.872,0.28,0.64,0.20
Drop19,wet,0.672,0.261,-0.144,1.192,1.336,30.56,0.501,28.542,31.596,3.054,0.12,0.34,0.56
Drop21,wet,1.103,0.411,-0.348,1.885,2.233,30.075,0.693,27.443,31.351,3.908,0.08,0.22,0.6
Drop22,wet,0.464,0.557,-0.711,1.427,2.138,29.457,1.024,27.214,30.925,3.71,0.28,0.60,0.38
Drop1,dry,0.997,0.298,0.234,1.508,1.274,34.378,0.704,32.714,35.555,2.841,0.14,0.28,0.64
Drop2,dry,0.868,0.214,0.301,1.319,1.018,33.884,0.528,32.59,34.871,2.281,0.14,0.27,0.53
Drop4,dry,-0.991,0.749,-1.952,0.962,2.914,29.891,1.773,27.334,33.934,6.6,0.74,0.82,0.10
Drop6,dry,-0.907,1.007,-2.208,1.175,3.383,29.591,2.258,26.705,34.773,8.068,0.10,0.36,0.20
Drop8,dry,-0.131,0.44,-0.861,0.657,1.518,32.312,0.968,30.706,34.047,3.341,0.18,0.56,0.22
Drop9,dry,0.783,0.175,0.272,1.199,0.927,33.851,0.339,33.066,34.529,1.463,0.10,0.34,0.58
Drop11,dry,1.542,0.372,-0.295,1.995,2.29,35.555,0.859,31.621,36.746,5.125,0.04,0.06,0.94
Drop12,dry,-0.928,0.6,-0.863,1.689,2.552,33.775,1.346,29.772,35.639,5.867,0.14,0.36,0.48
Drop14,dry,0.522,0.425,-0.468,1.257,1.725,32.888,1.281,30.094,35.366,5.272,0.08,0.32,0.48
Drop15,dry,-0.068,0.343,-0.679,0.848,1.527,32.752,0.755,31.106,34.467,3.361,0.08,0.72,0.14
Drop16,dry,-0.388,0.639,-1.448,0.713,2.161,31.46,1.38,29.048,33.819,4.772,0.24,0.52,0.32
Drop17,dry,-0.415,1.057,-2.086,1.104,3.19,30.473,2.041,27.178,33.236,6.058,0.32,0.52,0.30
Drop18,dry,-0.951,0.386,-1.93,0.18,2.11,30.092,0.796,28.353,32.199,3.846,0.28,0.64,0.20
Drop19,dry,0.722,0.358,-0.151,1.47,1.621,34.152,0.825,32.103,35.835,3.732,0.12,0.34,0.56
Drop21,dry,0.716,0.371,-0.543,1.425,1.968,34.016,0.789,31.088,35.442,4.354,0.08,0.22,0.60
Drop22,dry,0.41,0.527,-0.767,1.151,1.918,32.345,1.166,29.926,34.303,4.377,0.28,0.60,0.38
