"","location","DropID","elevation","address","dist.river","dist.commerc","spot.surface","buff10.surface","buff10.vegstr","buff10.lc.tg","buff10.lc.t","buff10.lc.i","buff300.lc.t","buff300.lc.g","buff300.lc.i","buff300.lc.w","buff300.lc.o","buff300.lc.all","buff300.lc.tg","mean.t.wet","mean.t.year","mean.t.dry","mean.t.oct21","mean.t.mj22","mean.h.year","mean.h.wet","mean.h.dry","mean.h.oct21","mean.h.mj22","min.t.wet.night","min.t.dry.night","min.t.oct21.night","min.t.mj22.night","min.t.year.night","range.t.year.night","range.t.wet.night","range.t.dry.night","range.t.oct21.night","range.t.mj22.night","max.t.10he","max.h.10he","av_LSTsCOMP.wet","av_LSTsCOMP.dry","X","treecover","Dtemp6AM","Dtemp1PM","Wtemp6AM","Wtemp1PM"
"1","Drop1","1",11,"Jaggernath Lachmonstraat",2.3592399902,3.4623300781,"Bare","Impervious","none",0.125,0.1,0.775,0.14,0.14,0.64,0,0.08,1,0.28,27.9086252653928,28.0085854564756,28.1085456475584,29.259811827957,27.5565104166667,84.3940817409766,84.7794851380042,84.008678343949,81.816935483871,87.367578125,22,22.4,24.3,22.2,22,8.6,8.5,8.2,6.1,6.3,42.3,100,0.99,1,11,0.14,24.79809,32.78408,24.3949044585987,32.6
"2","Drop11","11",21,"Jodenbreestraat Centrum",0.3125880127,0.0855016022,"Impervious","Impervious","Only trees",0.1,0.1,0.9,0.04,0.02,0.94,0,0,1,0.06,27.9946347031963,28.2753216911765,28.6005621693122,29.0107142857143,27.4098958333333,78.3982077205882,79.0076769406393,77.6919973544974,78.2458333333333,79.953125,23.4,22.9,25,23.5,22.9,8,7.5,8,5.3,5.6,40.9,94.5,1.74,1.54,15,0.04,25.35159,32.89603,25.027397260274,31.9821917808219
"3","Drop12","12",2,"NL Ambassade",0.4912879944,0.7535830078,"Vegetation","Impervious / bare","none",0.65,0.1,0.2,0.14,0.22,0.48,0,0.16,1,0.36,27.0636797188755,27.2655909586057,27.505,28.3568965517241,26.7911458333333,82.5154275599129,82.7047941767068,82.2908928571429,82.7787356321839,82.4373697916667,21.9,22.4,24.7,21.9,21.9,7.9,7.8,7.4,5.1,6.1,36.8,95.6,0.78,-0.93,7,0.14,24.97857,31.25857,24.5518072289157,30.6259036144578
"4","Drop14","14",4,"Kinderdorpstraat",2.9298500977,4.06875,"Bare","Bare","Only trees",0.05,0.05,0.6,0.08,0.24,0.48,0,0.2,1,0.32,26.9109806629834,27.1737068965517,27.5182971014493,28.0195,26.524609375,82.8972439916405,87.2566068139963,77.1795289855072,65.527,91.190234375,22,22.5,25.2,22.3,22,10.8,7.4,10.3,7.6,5.7,36.5,100,0.25,0.52,9,0.08,25.26522,29.91232,24.3497237569061,30.2767955801105
"5","Drop15","15",17,"Rampersadweg",5.5418598633,7.4661899414,"Bare with veg","Vegetation","Grass/shrub",0.5,0.2,0.35,0.08,0.64,0.14,0,0.14,1,0.72,26.8441,27.1671174863388,27.3914351851852,28.2075268817204,26.7266666666667,86.019781420765,87.1987333333333,85.2010648148148,83.7447580645161,89.5811111111111,20.6,21.3,23.3,22,20.6,9,8.8,8.3,6.3,5.5,35.5,100,-0.46,0.07,4,0.08,24.07556,31.35667,23.6984,31.0496
"6","Drop16","16",10,"Sohawanweg",3.3643000488,3.1251499023,"Vegetation","Vegetation","Forest/trees",1,0.475,0,0.24,0.28,0.32,0,0.16,1,0.52,26.261755952381,26.6694711538462,27.1451388888889,27.6827956989247,25.7260057471264,92.3041266025641,93.3800967261905,91.048828125,89.6114247311828,97.3264367816092,21.7,21,23.4,21.8,21,7,6.1,7,4.3,4.3,36.6,100,-0.23,-0.39,3,0.24,23.79688,31.76771,23.5571428571429,30.7508928571429
"7","Drop17","17",8,"Wolfertweg",7.4332202148,7.7328398438,"Bare with veg","Bare with vegetation","Only trees",0.3,0.075,0.2,0.32,0.2,0.3,0,0.18,1,0.52,26.4856018518519,26.6895241477273,26.9029312015504,27.7096774193548,26.2798177083333,87.5195194128788,87.8491666666667,87.1745397286822,87.6309139784946,87.8126302083333,21.4,22,23.5,21.9,21.4,7.5,7.3,6.9,5.1,5.5,35.8,100,-0.44,-0.42,5,0.32,24.07326,30.74128,23.8305555555556,30.5022222222222
"8","Drop18","18",10,"Ariesstraat",6.0215297852,6.0066098633,"Bare","Bare","none",0.125,0.05,0.5,0.28,0.36,0.2,0,0.16,1,0.64,26.7934713375796,26.9330989583333,27.0675869120654,28.0259408602151,26.4880747126437,87.1136979166667,88.0064755838641,86.2537832310838,84.1518817204301,91.2050287356322,21.5,22.1,23.5,22.8,21.5,7.3,7.3,6.4,5,4.7,35.2,99.8,-0.89,-0.95,12,0.28,24.38957,30.19387,24.228025477707,30.2019108280255
"9","Drop19","19",18,"Franklynweg Latour",2.4328999023,5.1547597656,"Impervious","Impervious","none",0,0,1,0.12,0.22,0.56,0,0.1,1,0.34,27.3583099250936,27.5928831096197,27.9408333333333,28.4278409090909,27.1483072916667,80.3673378076063,80.6223080524345,79.9891319444444,81.0465909090909,79.9783854166667,23.1,23.5,25,23.1,23.1,7.5,7.5,6.9,5,5.2,34.7,94.2,0.67,0.72,16,0.12,25.60167,31.12417,25.1786516853933,30.4556179775281
"10","Drop2","2",10,"M.C. Ooft Plein (tegenover Fernandes)",2.4679399414,2.8993601074,"Bare with veg","Bare","Forest/trees",0.775,0.675,0,0.142857142857143,0.122448979591837,0.530612244897959,0,0.204081632653061,1,0.26530612244898,26.5579510703364,26.4973159509202,26.3749228395062,NA,26.2675,85.6720347648262,86.6252675840979,83.7479166666667,NA,89.8725,21.9,22.1,NA,21.9,21.9,7.1,6.9,6.9,NA,6,32.8,92.3,0.88,0.87,10,0.14,24.64444,28.67593,24.394495412844,29.2100917431193
