rand_point,FID_,Name,timestamp,Field_1,BUFF_DIST,SHAPE_Leng,SHAPE_Area,DN,layer,path
0,0,UT_1,2021/09/02,"<table width=""100%""></table>",10.00000000000,62.79454745530,313.43222205000,6,trees2,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN"" = 6"
1,0,UT_1,2021/09/02,"<table width=""100%""></table>",10.00000000000,62.79454745530,313.43222205000,5,Road/Paved layer,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""  = 5"
2,0,UT_1,2021/09/02,"<table width=""100%""></table>",10.00000000000,62.79454745530,313.43222205000,6,trees2,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN"" = 6"
3,0,UT_1,2021/09/02,"<table width=""100%""></table>",10.00000000000,62.79454745530,313.43222205000,5,Road/Paved layer,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""  = 5"
4,0,UT_1,2021/09/02,"<table width=""100%""></table>",10.00000000000,62.79454745530,313.43222205000,2,Built-up,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""= 2"
5,0,UT_1,2021/09/02,"<table width=""100%""></table>",10.00000000000,62.79454745530,313.43222205000,5,Road/Paved layer,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""  = 5"
6,0,UT_1,2021/09/02,"<table width=""100%""></table>",10.00000000000,62.79454745530,313.43222205000,5,Road/Paved layer,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""  = 5"
7,0,UT_1,2021/09/02,"<table width=""100%""></table>",10.00000000000,62.79454745530,313.43222205000,2,Built-up,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""= 2"
8,0,UT_1,2021/09/02,"<table width=""100%""></table>",10.00000000000,62.79454745530,313.43222205000,5,Road/Paved layer,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""  = 5"
9,0,UT_1,2021/09/02,"<table width=""100%""></table>",10.00000000000,62.79454745530,313.43222205000,2,Built-up,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""= 2"
