rand_point,FID_,Name,timestamp,Field_1,BUFF_DIST,SHAPE_Leng,SHAPE_Area,testDN,testlayer,testpath
0,0,UT_1,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83661793000,282089.05828300002,4,Shrubs,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""  = 4"
1,0,UT_1,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83661793000,282089.05828300002,3,Grass,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""  = 3"
2,0,UT_1,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83661793000,282089.05828300002,4,Shrubs,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""  = 4"
3,0,UT_1,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83661793000,282089.05828300002,4,Shrubs,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""  = 4"
4,0,UT_1,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83661793000,282089.05828300002,5,Road/Paved layer,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""  = 5"
5,0,UT_1,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83661793000,282089.05828300002,6,trees2,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN"" = 6"
6,0,UT_1,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83661793000,282089.05828300002,7,Trees,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset= ""DN"" = 7"
7,0,UT_1,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83661793000,282089.05828300002,5,Road/Paved layer,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""  = 5"
8,0,UT_1,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83661793000,282089.05828300002,4,Shrubs,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""  = 4"
9,0,UT_1,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83661793000,282089.05828300002,5,Road/Paved layer,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""  = 5"
10,0,UT_1,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83661793000,282089.05828300002,4,Shrubs,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""  = 4"
